CondRecNo.	Material	Material Number	Amount	Valid From	Valid to	SOrg.	DChl
0000181297	000000000010216315	SPIRIT OF THE FOREST (DVD) OTH	44.42	01.06.2011	31.12.9999	101	10
0000181298	000000000010216283	THAW, THE (DVD) OTH	44.42	01.06.2011	31.12.9999	101	10
0000181299	000000000010215818	AGORA (DVD) OTH	74.06	01.06.2011	31.12.9999	101	11
0000181300	000000000010216294	BAKGAT 2 (DVD) OTH	74.06	01.06.2011	16.08.2012	101	11
0000181301	000000000010216023	BART GOT A ROOM (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181302	000000000010216288	BURROWERS, THE (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181303	000000000010216317	CHRISTMAS IN WONDERLAND (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181304	000000000010216286	DAY OF THE TRIFFIDS, THE (DVD) OTH	44.42	01.06.2011	13.09.2012	101	11
0000181305	000000000010216022	DEEPLY (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181306	000000000010216018	DEFENDOR (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181307	000000000010216284	FOR SALE BY OWNER (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181308	000000000010209533	ICARUS AKA KAROS (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181309	000000000010216273	JUST PECK (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181310	000000000010216289	KING OF FIGHTERS (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181311	000000000010216021	MY FAMILYS SECRET AKA DARK PLACES(DVD)OT	44.42	01.06.2011	31.12.9999	101	11
0000181312	000000000010216316	OCEANS (DVD) OTH	74.06	01.06.2011	31.12.9999	101	11
0000181313	000000000010216315	SPIRIT OF THE FOREST (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181314	000000000010216283	THAW, THE (DVD) OTH	44.42	01.06.2011	31.12.9999	101	11
0000181315	000000000010217922	BEAUTY & THE BEAST SE (2010) (DVD) WD	96.28	01.06.2011	29.02.2012	101	11
0000181316	000000000010218320	B&TB: BELLE'S MAGICAL WORLD (DVD) WD	74.06	01.06.2011	31.12.9999	101	11
0000181317	000000000010218321	B&TB: ENCHANTED CHRISTMAS (DVD) WD	74.06	01.06.2011	31.12.9999	101	11
0000181318	000000000010217987	DISNEY PRINCESS: ENCHANTED TALES(DVD)WD	44.42	01.06.2011	31.12.9999	101	11
0000181319	000000000010218173	PRINCESS AND THE FROG, THE (DVD) WD	74.06	01.06.2011	31.12.9999	101	11
0000181320	000000000010218340	PRINCESS STORIES VOL 1 (DVD) WD	44.42	01.06.2011	31.12.9999	101	11
0000181321	000000000010218179	PRINCESS STORIES VOL 2 (DVD) WD	44.42	01.06.2011	31.12.9999	101	11
0000181322	000000000010218200	SNOW WHITE & THE SEVEN DWARFS-2DISC(DVD)	96.28	01.06.2011	08.06.2011	101	11
0000181323	000000000010217922	BEAUTY & THE BEAST SE (2010) (DVD) WD	96.28	01.06.2011	29.02.2012	101	10
0000181324	000000000010218320	B&TB: BELLE'S MAGICAL WORLD (DVD) WD	74.06	01.06.2011	31.12.9999	101	10
0000181325	000000000010218321	B&TB: ENCHANTED CHRISTMAS (DVD) WD	74.06	01.06.2011	31.12.9999	101	10
0000181326	000000000010217987	DISNEY PRINCESS: ENCHANTED TALES(DVD)WD	44.42	01.06.2011	31.12.9999	101	10
0000181327	000000000010218173	PRINCESS AND THE FROG, THE (DVD) WD	74.06	01.06.2011	31.12.9999	101	10
