SOrg.	DChl	Material	Material Number	Clt	MTyp	EAN/UPC	Plnt
101	11	000000000000008187	FUNNY PEOPLE 1 (DVD)OTH		ZDVD	6004416046991	111
101	10	000000000000008187	FUNNY PEOPLE 1 (DVD)OTH		ZDVD	6004416046991	111
101	11	000000000000008186	GODS MUST BE CRAZY 2 (DVD)OTH	X	ZDVD	6004416047011	111
101	10	000000000000008186	GODS MUST BE CRAZY 2 (DVD)OTH	X	ZDVD	6004416047011	111
101	11	000000000000008185	GODS MUST BE CRAZY 1 (DVD)OTH	X	ZDVD	6004416046984	111
101	10	000000000000008185	GODS MUST BE CRAZY 1 (DVD)OTH	X	ZDVD	6004416046984	111
101	11	000000000000008184	BEAUTIFUL PEOPLE (DVD)OTH		ZDVD	6004416046977	111
101	10	000000000000008184	BEAUTIFUL PEOPLE (DVD)OTH		ZDVD	6004416046977	111
101	11	000000000000008176	TED BUNDY (DVD)OTH	X	ZDVD	6004416046830	111
101	10	000000000000008176	TED BUNDY (DVD)OTH	X	ZDVD	6004416046830	111
101	11	000000000000008175	BEND IT LIKE BECKHAM (DVD) OTH	X	ZDVD	6004416046823	111
101	10	000000000000008175	BEND IT LIKE BECKHAM (DVD) OTH	X	ZDVD	6004416046823	111
101	11	000000000000008170	COMIC BOOK VILLIANS (DVD) OTH	X	ZDVD	6004416046939	111
101	10	000000000000008170	COMIC BOOK VILLIANS (DVD) OTH	X	ZDVD	6004416046939	111
101	11	000000000000008169	SCOUNDREL'S WIFE (DVD) OTH	X	ZDVD	6004416046892	111
101	10	000000000000008169	SCOUNDREL'S WIFE (DVD) OTH	X	ZDVD	6004416046892	111
101	10	000000000000008163	KATE & LEOPOLD (DVD)OTH	X	ZDVD	6004416046861	111
101	11	000000000000008162	DRAGON FLY (DVD) OTH		ZDVD	6004416046960	111
101	10	000000000000008162	DRAGON FLY (DVD) OTH		ZDVD	6004416046960	111
101	11	000000000000008137	MONSTERS BALL (DVD)OTH	X	ZDVD	6004416046779	111
101	10	000000000000008137	MONSTERS BALL (DVD)OTH	X	ZDVD	6004416046779	111
101	11	000000000000008135	AMERICAN OUTLAWS (DVD)OTH	X	ZDVD	6004416046755	111
101	10	000000000000008135	AMERICAN OUTLAWS (DVD)OTH	X	ZDVD	6004416046755	111
101	11	000000000000008134	COUNT OF MONTE CRISTO (DVD) OTH		ZDVD	6004416046953	111
101	10	000000000000008134	COUNT OF MONTE CRISTO (DVD) OTH		ZDVD	6004416046953	111
101	10	000000000000008129	STUART LITTLE 2 (DVD) SPHE	X	ZDVD	5035822272170	111
101	11	000000000000008065	PRESSURE (DVD) OTH	X	ZDVD	6004416046380	111
101	10	000000000000008065	PRESSURE (DVD) OTH	X	ZDVD	6004416046380	111
101	11	000000000000008057	CROSSROADS (DVD) OTH	X	ZDVD	6004416046717	111
101	10	000000000000008057	CROSSROADS (DVD) OTH	X	ZDVD	6004416046717	111
101	10	000000000000008014	AMELIE (DVD) OTH	X	ZDVD	6004416046731	111
101	11	000000000000008013	FRAMED (DVD) OTH	X	ZDVD	6004416046748	111
101	10	000000000000008013	FRAMED (DVD) OTH	X	ZDVD	6004416046748	111
101	11	000000000000007962	FAILURE IS NOT AN OPTION (DVD)OTH	X	ZDVD	6004416045079	111
101	10	000000000000007962	FAILURE IS NOT AN OPTION (DVD)OTH	X	ZDVD	6004416045079	111
101	11	000000000000007958	DOMESTIC DISTURBANCE (DVD)OTH	X	ZDVD	6004416045031	111
101	10	000000000000007958	DOMESTIC DISTURBANCE (DVD)OTH	X	ZDVD	6004416045031	111
101	11	000000000000007933	HELP I'M A FISH (DVD)OTH	X	ZDVD	6004416044997	111
101	10	000000000000007933	HELP I'M A FISH (DVD)OTH	X	ZDVD	6004416044997	111
101	11	000000000000007931	SOUL KEEPERS (DVD)OTH	X	ZDVD	6004416045000	111
101	10	000000000000007931	SOUL KEEPERS (DVD)OTH	X	ZDVD	6004416045000	111
101	11	000000000000007921	ONE NIGHT AT MCCOOLS (DVD)OTH	X	ZDVD	6004416044928	111
101	10	000000000000007921	ONE NIGHT AT MCCOOLS (DVD)OTH	X	ZDVD	6004416044928	111
101	11	000000000000007872	AGNES OF GOD (DVD) - SPHE	X	ZDVD	5035822076150	111
101	10	000000000000007872	AGNES OF GOD (DVD) - SPHE	X	ZDVD	5035822076150	111
101	11	000000000000007524	EVOLUTION (DVD) - SPHE	X	ZDVD	5035822218338	111
101	10	000000000000007524	EVOLUTION (DVD) - SPHE	X	ZDVD	5035822218338	111
101	10	000000000000009331	PROUD REBEL (DVD) OTH	X	ZDVD	6004416089141	111
101	11	000000000000009331	PROUD REBEL (DVD) OTH	X	ZDVD	6004416089141	111
